date,TMAX,TMIN,PRCP,SNOW,AWND
2022-01-01,57.0,50.0,0.76,0.0,6.3
2022-01-02,60.0,39.0,0.04,0.0,9.6
2022-01-03,39.0,24.0,0.0,0.0,14.3
2022-01-04,36.0,21.0,0.0,0.0,8.7
2022-01-05,48.0,32.0,0.24,0.0,7.6
2022-01-06,43.0,36.0,0.0,0.0,11.2
2022-01-07,36.0,28.0,0.33,9.7,18.6
2022-01-08,32.0,23.0,0.0,0.0,10.7
2022-01-09,42.0,30.0,0.11,0.0,11.0
2022-01-10,42.0,26.0,0.0,0.0,16.8
2022-01-11,26.0,17.0,0.0,0.0,14.3
2022-01-12,42.0,20.0,0.0,0.0,9.8
2022-01-13,46.0,33.0,0.0,0.0,5.8
2022-01-14,43.0,22.0,0.0,0.0,17.0
2022-01-15,22.0,13.0,0.0,0.0,13.0
2022-01-16,40.0,10.0,0.36,0.6,12.3
2022-01-17,46.0,35.0,1.06,0.0,19.2
2022-01-18,38.0,31.0,0.0,0.0,18.8
2022-01-19,51.0,29.0,0.0,0.0,10.5
2022-01-20,47.0,23.0,0.25,0.3,12.1
2022-01-21,23.0,15.0,0.0,0.0,13.9
2022-01-22,30.0,14.0,0.0,0.0,7.6
2022-01-23,38.0,26.0,0.01,0.2,9.4
2022-01-24,38.0,28.0,0.0,0.2,8.1
2022-01-25,43.0,30.0,0.0,0.0,10.5
2022-01-26,30.0,21.0,0.0,0.0,12.5
2022-01-27,32.0,18.0,0.0,0.0,8.3
2022-01-28,35.0,30.0,0.11,1.3,7.8
2022-01-29,30.0,15.0,0.49,8.1,22.8
2022-01-30,27.0,14.0,0.0,0.0,13.6
2022-01-31,30.0,19.0,0.0,0.0,6.5
2022-02-01,37.0,24.0,0.0,0.0,7.6
2022-02-02,42.0,31.0,0.0,0.0,5.1
2022-02-03,48.0,39.0,0.42,0.0,5.8
2022-02-04,55.0,28.0,0.74,0.0,11.9
2022-02-05,29.0,21.0,0.0,0.0,17.7
2022-02-06,32.0,17.0,0.0,0.0,7.2
2022-02-07,40.0,31.0,0.15,0.0,6.9
2022-02-08,47.0,34.0,0.08,0.0,12.8
2022-02-09,44.0,31.0,0.0,0.0,8.3
2022-02-10,56.0,34.0,0.0,0.0,9.8
2022-02-11,56.0,37.0,0.0,0.0,11.2
2022-02-12,60.0,42.0,0.0,0.0,13.2
2022-02-13,42.0,26.0,0.19,2.4,10.5
2022-02-14,27.0,18.0,0.0,0.0,17.7
2022-02-15,32.0,18.0,0.0,0.0,11.0
2022-02-16,47.0,27.0,0.0,0.0,10.1
2022-02-17,63.0,47.0,0.3,0.0,12.5
2022-02-18,63.0,28.0,0.25,0.0,20.4
2022-02-19,41.0,25.0,0.0,0.0,17.0
2022-02-20,36.0,22.0,0.0,0.0,13.0
2022-02-21,54.0,33.0,0.0,0.0,7.6
2022-02-22,56.0,36.0,0.23,0.0,10.1
2022-02-23,,,0.0,,14.3
